Year,Region Name,Pounds,Dollars,Collection,Metric Tons
1966,Middle Atlantic,"669,601,300","56,814,003",Commercial,"303,729"
1966,New England,"684,374,800","78,247,363",Commercial,"310,430"
1966,Pacific Coast,"908,335,600","90,892,120",Commercial,"412,018"
1966,South Atlantic,"367,776,100","27,068,252",Commercial,"166,822"
1967,Gulf,"1,176,279,474","125,957,769",Commercial,"533,557"
1967,Middle Atlantic,"584,379,600","59,006,151",Commercial,"265,073"
1967,New England,"625,340,000","70,256,504",Commercial,"283,652"
1967,Pacific Coast,"1,034,146,100","96,477,291",Commercial,"469,086"
1967,South Atlantic,"353,344,000","25,025,103",Commercial,"160,276"
1968,Gulf,"1,288,819,496","138,608,413",Commercial,"584,605"
1968,Middle Atlantic,"624,388,500","61,723,194",Commercial,"283,221"
1968,New England,"634,749,000","75,656,127",Commercial,"287,920"
1968,Pacific Coast,"937,167,800","95,415,144",Commercial,"425,097"
1968,South Atlantic,"339,440,500","32,942,043",Commercial,"153,969"
1969,Gulf,"1,614,144,090","152,281,695",Commercial,"732,171"
1969,Middle Atlantic,"491,946,200","61,648,866",Commercial,"223,145"
1969,New England,"568,257,700","80,577,001",Commercial,"257,760"
1969,Pacific Coast,"1,072,362,100","110,985,034",Commercial,"486,420"
1969,South Atlantic,"318,708,900","36,358,046",Commercial,"144,565"
1970,Gulf,"1,622,605,345","164,769,363",Commercial,"736,009"
1970,Middle Atlantic,"770,440,700","70,457,999",Commercial,"349,470"
1970,New England,"531,271,500","91,031,805",Commercial,"240,983"
1970,Pacific Coast,"1,187,882,100","142,721,587",Commercial,"538,820"
1970,South Atlantic,"280,365,735","29,841,086",Commercial,"127,173"
1971,Great Lakes,"869,468","247,391",Commercial,394
1971,Gulf,"2,096,180,983","199,047,842",Commercial,"950,821"
1971,Middle Atlantic,"728,442,300","73,906,617",Commercial,"330,419"
1971,New England,"513,523,700","94,644,224",Commercial,"232,933"
1971,Pacific Coast,"1,106,423,720","140,184,309",Commercial,"501,871"
1971,South Atlantic,"258,053,456","41,693,162",Commercial,"117,052"
1972,Great Lakes,"790,799","235,427",Commercial,359
1972,Gulf,"1,587,892,600","224,450,815",Commercial,"720,263"
1972,Middle Atlantic,"976,232,300","85,002,350",Commercial,"442,816"
1972,New England,"489,254,400","106,638,658",Commercial,"221,924"
1972,Pacific Coast,"1,190,574,400","166,435,429",Commercial,"540,041"
1972,South Atlantic,"286,323,000","44,874,601",Commercial,"129,875"
1973,Great Lakes,"871,686","287,012",Commercial,395
1973,Gulf,"1,543,735,300","266,634,944",Commercial,"700,234"
1973,Middle Atlantic,"957,923,400","104,886,369",Commercial,"434,511"
1973,New England,"518,146,500","117,183,927",Commercial,"235,030"
1973,Pacific Coast,"1,272,902,500","215,777,748",Commercial,"577,385"
1973,South Atlantic,"240,164,800","57,286,781",Commercial,"108,938"
1974,Great Lakes,"1,153,917","420,747",Commercial,523
1974,Gulf,"1,775,800,000","242,225,945",Commercial,"805,498"
1974,Middle Atlantic,"808,237,700","101,609,044",Commercial,"366,614"
1974,New England,"522,491,700","124,334,408",Commercial,"237,001"
1974,Pacific Coast,"1,267,298,000","241,065,702",Commercial,"574,843"
1974,South Atlantic,"304,662,900","50,787,440",Commercial,"138,194"
1975,Great Lakes,"917,174","406,531",Commercial,416
1975,Gulf,"1,654,036,100","270,582,479",Commercial,"750,266"
1975,Middle Atlantic,"697,215,500","105,767,056",Commercial,"316,255"
1975,New England,"498,363,300","154,131,958",Commercial,"226,056"
1975,Pacific Coast,"1,450,422,400","227,604,330",Commercial,"657,907"
1975,South Atlantic,"333,073,100","63,575,362",Commercial,"151,081"
1976,Great Lakes,"890,846","527,788",Commercial,404
1976,Gulf,"1,742,620,920","386,432,819",Commercial,"790,448"
1976,Middle Atlantic,"855,775,000","142,991,964",Commercial,"388,177"
1976,New England,"547,480,100","174,138,203",Commercial,"248,335"
1976,Pacific Coast,"1,470,730,062","303,195,187",Commercial,"667,119"
1976,South Atlantic,"318,481,900","73,955,395",Commercial,"144,462"
1977,Great Lakes,"915,862","460,710",Commercial,415
1977,Gulf,"1,482,431,100","408,380,520",Commercial,"672,426"
1977,Middle Atlantic,"885,219,600","157,027,509",Commercial,"401,533"
1977,New England,"585,965,000","207,221,950",Commercial,"265,792"
1977,Pacific Coast,"1,395,733,524","327,533,981",Commercial,"633,101"
1977,South Atlantic,"346,863,800","71,242,500",Commercial,"157,336"
1978,Great Lakes,"823,482","464,305",Commercial,374
1978,Gulf,"2,234,812,529","484,771,571",Commercial,"1,013,704"
1978,Middle Atlantic,"801,660,800","174,804,738",Commercial,"363,631"
1978,New England,"663,316,100","262,121,925",Commercial,"300,878"
1978,Pacific Coast,"1,296,442,070","370,909,899",Commercial,"588,062"
1978,South Atlantic,"377,380,351","84,286,396",Commercial,"171,179"
1979,Great Lakes,"839,221","580,711",Commercial,381
1979,Gulf,"2,098,720,176","548,750,210",Commercial,"951,973"
1979,Middle Atlantic,"877,030,700","216,922,438",Commercial,"397,819"
1979,New England,"708,289,400","302,089,533",Commercial,"321,278"
1979,Pacific Coast,"1,412,682,005","409,202,666",Commercial,"640,788"
1979,South Atlantic,"489,645,790","146,645,143",Commercial,"222,102"
1980,Great Lakes,"924,288","442,959",Commercial,419
1980,Gulf,"1,936,940,173","507,750,184",Commercial,"878,590"
1980,Middle Atlantic,"968,023,800","231,417,424",Commercial,"439,093"
1980,New England,"794,219,100","344,452,351",Commercial,"360,255"
1980,Pacific Coast,"1,383,844,043","446,875,896",Commercial,"627,708"
1980,Pacific Coast,"55,456,504",,Recreational,"25,155"
1980,South Atlantic,"476,710,955","153,382,569",Commercial,"216,235"
1981,Great Lakes,"1,187,825","724,731",Commercial,539
1981,Gulf,"1,680,908,069","566,622,337",Commercial,"762,455"
1981,Gulf,"158,126,190",,Recreational,"71,726"
1981,Middle Atlantic,"834,186,600","217,587,884",Commercial,"378,385"
1981,Middle Atlantic,"192,141,963",,Recreational,"87,155"
1981,New England,"721,756,800","377,108,318",Commercial,"327,387"
1981,New England,"120,256,687",,Recreational,"54,548"
1981,Pacific Coast,"1,247,790,724","435,124,059",Commercial,"565,994"
1981,Pacific Coast,"44,613,548",,Recreational,"20,237"
